# tb_imm_gen vectors -- generated by tools/gen_imm_vectors.py (seed 20260906)
# idx  inst      sel  expected  source
  150  00228d13  0    00000002  addi x26, x5, 2
  151  003c9e83  0    00000003  lh x29, 3(x25)
  152  004b85e7  0    00000004  jalr x11, x23, 4
  153  005ec013  0    00000005  xori x0, x29, 5
  154  006a4903  0    00000006  lbu x18, 6(x20)
  155  00798567  0    00000007  jalr x10, x19, 7
  156  00820c93  0    00000008  addi x25, x4, 8
  157  00940203  0    00000009  lb x4, 9(x8)
  158  00f90767  0    0000000f  jalr x14, x18, 15
  159  01084193  0    00000010  xori x3, x16, 16
  160  011ea203  0    00000011  lw x4, 17(x29)
  161  01fc8867  0    0000001f  jalr x16, x25, 31
  162  020a0b13  0    00000020  addi x22, x20, 32
  163  0212d403  0    00000021  lhu x8, 33(x5)
  164  02530ae7  0    00000025  jalr x21, x6, 37
  165  028c4d93  0    00000028  xori x27, x24, 40
  166  03329683  0    00000033  lh x13, 51(x5)
  167  03f109e7  0    0000003f  jalr x19, x2, 63
  168  040f0e13  0    00000040  addi x28, x30, 64
  169  041e4403  0    00000041  lbu x8, 65(x28)
  170  048483e7  0    00000048  jalr x7, x9, 72
  171  04be4b13  0    0000004b  xori x22, x28, 75
  172  04fb0303  0    0000004f  lb x6, 79(x22)
  173  059206e7  0    00000059  jalr x13, x4, 89
  174  07588c13  0    00000075  addi x24, x17, 117
  175  07fea983  0    0000007f  lw x19, 127(x29)
  176  08080967  0    00000080  jalr x18, x16, 128
  177  0819c293  0    00000081  xori x5, x19, 129
  178  0a80d303  0    000000a8  lhu x6, 168(x1)
  179  0af38de7  0    000000af  jalr x27, x7, 175
  180  0bdb0613  0    000000bd  addi x12, x22, 189
  181  0fa29603  0    000000fa  lh x12, 250(x5)
  182  0fb08b67  0    000000fb  jalr x22, x1, 251
  183  0ff4ca93  0    000000ff  xori x21, x9, 255
  184  1003cb83  0    00000100  lbu x23, 256(x7)
  185  101f8767  0    00000101  jalr x14, x31, 257
  186  106d0e93  0    00000106  addi x29, x26, 262
  187  12e38f83  0    0000012e  lb x31, 302(x7)
  188  13fe0ae7  0    0000013f  jalr x21, x28, 319
  189  15034713  0    00000150  xori x14, x6, 336
  190  16152383  0    00000161  lw x7, 353(x10)
  191  17bb81e7  0    0000017b  jalr x3, x23, 379
  192  19820a13  0    00000198  addi x20, x4, 408
  193  1a51d983  0    000001a5  lhu x19, 421(x3)
  194  1b390ce7  0    000001b3  jalr x25, x18, 435
  195  1ccacf13  0    000001cc  xori x30, x21, 460
  196  1dea9e03  0    000001de  lh x28, 478(x21)
  197  1eef03e7  0    000001ee  jalr x7, x30, 494
  198  1ff80013  0    000001ff  addi x0, x16, 511
  199  200dc003  0    00000200  lbu x0, 512(x27)
  200  201a0167  0    00000201  jalr x2, x20, 513
  201  21a94a13  0    0000021a  xori x20, x18, 538
  202  23d40683  0    0000023d  lb x13, 573(x8)
  203  253a8be7  0    00000253  jalr x23, x21, 595
  204  270f8593  0    00000270  addi x11, x31, 624
  205  2876a883  0    00000287  lw x17, 647(x13)
  206  298406e7  0    00000298  jalr x13, x8, 664
  207  2a2ec713  0    000002a2  xori x14, x29, 674
  208  2b4ad883  0    000002b4  lhu x17, 692(x21)
  209  2c8e0767  0    000002c8  jalr x14, x28, 712
  210  2dd20113  0    000002dd  addi x2, x4, 733
  211  2fba1483  0    000002fb  lh x9, 763(x20)
  212  30300067  0    00000303  jalr x0, x0, 771
  213  3082c313  0    00000308  xori x6, x5, 776
  214  312dc883  0    00000312  lbu x17, 786(x27)
  215  31548567  0    00000315  jalr x10, x9, 789
  216  32a20f13  0    0000032a  addi x30, x4, 810
  217  33f50703  0    0000033f  lb x14, 831(x10)
  218  349e88e7  0    00000349  jalr x17, x29, 841
  219  3796c113  0    00000379  xori x2, x13, 889
  220  3a242a03  0    000003a2  lw x20, 930(x8)
  221  3ac20a67  0    000003ac  jalr x20, x4, 940
  222  3bcf8093  0    000003bc  addi x1, x31, 956
  223  3d9a5703  0    000003d9  lhu x14, 985(x20)
  224  3ff70ce7  0    000003ff  jalr x25, x14, 1023
  225  400b4193  0    00000400  xori x3, x22, 1024
  226  401c9183  0    00000401  lh x3, 1025(x25)
  227  404384e7  0    00000404  jalr x9, x7, 1028
  228  415e0813  0    00000415  addi x16, x28, 1045
  229  42f6c403  0    0000042f  lbu x8, 1071(x13)
  230  43998ae7  0    00000439  jalr x21, x19, 1081
  231  43a7c513  0    0000043a  xori x10, x15, 1082
  232  46e48183  0    0000046e  lb x3, 1134(x9)
  233  485304e7  0    00000485  jalr x9, x6, 1157
  234  49e08f13  0    0000049e  addi x30, x1, 1182
  235  4bd4a383  0    000004bd  lw x7, 1213(x9)
  236  4d950467  0    000004d9  jalr x8, x10, 1241
  237  4e214293  0    000004e2  xori x5, x2, 1250
  238  4eb85103  0    000004eb  lhu x2, 1259(x16)
  239  508209e7  0    00000508  jalr x19, x4, 1288
  240  50d00a13  0    0000050d  addi x20, x0, 1293
  241  51181683  0    00000511  lh x13, 1297(x16)
  242  52730ce7  0    00000527  jalr x25, x6, 1319
  243  5419c613  0    00000541  xori x12, x19, 1345
  244  5436c483  0    00000543  lbu x9, 1347(x13)
  245  58878b67  0    00000588  jalr x22, x15, 1416
  246  5c498693  0    000005c4  addi x13, x19, 1476
  247  5d228183  0    000005d2  lb x3, 1490(x5)
  248  5fc30ee7  0    000005fc  jalr x29, x6, 1532
  249  62124b93  0    00000621  xori x23, x4, 1569
  250  62b82e83  0    0000062b  lw x29, 1579(x16)
  251  62e98ce7  0    0000062e  jalr x25, x19, 1582
  252  63b48793  0    0000063b  addi x15, x9, 1595
  253  63fad283  0    0000063f  lhu x5, 1599(x21)
  254  644082e7  0    00000644  jalr x5, x1, 1604
  255  646f4a93  0    00000646  xori x21, x30, 1606
  256  67c29d83  0    0000067c  lh x27, 1660(x5)
  257  683a87e7  0    00000683  jalr x15, x21, 1667
  258  68408493  0    00000684  addi x9, x1, 1668
  259  68d24603  0    0000068d  lbu x12, 1677(x4)
  260  69388ee7  0    00000693  jalr x29, x17, 1683
  261  695f4393  0    00000695  xori x7, x30, 1685
  262  6a8c0703  0    000006a8  lb x14, 1704(x24)
  263  6bda0567  0    000006bd  jalr x10, x20, 1725
  264  6cbc0913  0    000006cb  addi x18, x24, 1739
  265  6ce32583  0    000006ce  lw x11, 1742(x6)
  266  6e7c80e7  0    000006e7  jalr x1, x25, 1767
  267  6fc44693  0    000006fc  xori x13, x8, 1788
  268  7191dd83  0    00000719  lhu x27, 1817(x3)
  269  72688267  0    00000726  jalr x4, x17, 1830
  270  72bf8b93  0    0000072b  addi x23, x31, 1835
  271  74a09383  0    0000074a  lh x7, 1866(x1)
  272  751f84e7  0    00000751  jalr x9, x31, 1873
  273  7643cb93  0    00000764  xori x23, x7, 1892
  274  7771c483  0    00000777  lbu x9, 1911(x3)
  275  77bf8ae7  0    0000077b  jalr x21, x31, 1915
  276  78620793  0    00000786  addi x15, x4, 1926
  277  78f58e83  0    0000078f  lb x29, 1935(x11)
  278  79e40de7  0    0000079e  jalr x27, x8, 1950
  279  7aec4313  0    000007ae  xori x6, x24, 1966
  280  7b872c03  0    000007b8  lw x24, 1976(x14)
  281  7baa0167  0    000007ba  jalr x2, x20, 1978
  282  7bdc0d93  0    000007bd  addi x27, x24, 1981
  283  7ca4d683  0    000007ca  lhu x13, 1994(x9)
  284  7cff8367  0    000007cf  jalr x6, x31, 1999
  285  7e354d13  0    000007e3  xori x26, x10, 2019
  286  7e591803  0    000007e5  lh x16, 2021(x18)
  287  7e8e0ee7  0    000007e8  jalr x29, x28, 2024
  288  7e958913  0    000007e9  addi x18, x11, 2025
  289  7feacc83  0    000007fe  lbu x25, 2046(x21)
  290  7fff0467  0    000007ff  jalr x8, x30, 2047
  291  00049b93  0    00000000  slli x23, x9, 0
  292  00189e93  0    00000001  slli x29, x17, 1
  293  00271713  0    00000002  slli x14, x14, 2
  294  00389293  0    00000003  slli x5, x17, 3
  295  00499813  0    00000004  slli x16, x19, 4
  296  005b9913  0    00000005  slli x18, x23, 5
  297  006f1813  0    00000006  slli x16, x30, 6
  298  00769f13  0    00000007  slli x30, x13, 7
  299  00839493  0    00000008  slli x9, x7, 8
  300  00971193  0    00000009  slli x3, x14, 9
  301  00aa1393  0    0000000a  slli x7, x20, 10
  302  00b21313  0    0000000b  slli x6, x4, 11
  303  00c71d13  0    0000000c  slli x26, x14, 12
  304  00d49a13  0    0000000d  slli x20, x9, 13
  305  00e29293  0    0000000e  slli x5, x5, 14
  306  00fb1d93  0    0000000f  slli x27, x22, 15
  307  01031b13  0    00000010  slli x22, x6, 16
  308  01151493  0    00000011  slli x9, x10, 17
  309  01261913  0    00000012  slli x18, x12, 18
  310  01321113  0    00000013  slli x2, x4, 19
  311  014b9893  0    00000014  slli x17, x23, 20
  312  015c1313  0    00000015  slli x6, x24, 21
  313  01669713  0    00000016  slli x14, x13, 22
  314  017e9093  0    00000017  slli x1, x29, 23
  315  01879813  0    00000018  slli x16, x15, 24
  316  01949513  0    00000019  slli x10, x9, 25
  317  01ab9c13  0    0000001a  slli x24, x23, 26
  318  01b79993  0    0000001b  slli x19, x15, 27
  319  01c29193  0    0000001c  slli x3, x5, 28
  320  01d19613  0    0000001d  slli x12, x3, 29
  321  01e89c13  0    0000001e  slli x24, x17, 30
  322  01f51f13  0    0000001f  slli x30, x10, 31
  323  00085893  0    00000000  srli x17, x16, 0
  324  00105d93  0    00000001  srli x27, x0, 1
  325  002a5f93  0    00000002  srli x31, x20, 2
  326  0038d813  0    00000003  srli x16, x17, 3
  327  00435593  0    00000004  srli x11, x6, 4
  328  005bd893  0    00000005  srli x17, x23, 5
  329  00695793  0    00000006  srli x15, x18, 6
  330  0073dd93  0    00000007  srli x27, x7, 7
  331  0083d713  0    00000008  srli x14, x7, 8
  332  009bd813  0    00000009  srli x16, x23, 9
  333  00ab5893  0    0000000a  srli x17, x22, 10
  334  00b95213  0    0000000b  srli x4, x18, 11
  335  00cad293  0    0000000c  srli x5, x21, 12
  336  00d9d893  0    0000000d  srli x17, x19, 13
  337  00ebd893  0    0000000e  srli x17, x23, 14
  338  00f15d13  0    0000000f  srli x26, x2, 15
  339  0103d913  0    00000010  srli x18, x7, 16
  340  01195393  0    00000011  srli x7, x18, 17
  341  01245793  0    00000012  srli x15, x8, 18
  342  0136da13  0    00000013  srli x20, x13, 19
  343  01465a13  0    00000014  srli x20, x12, 20
  344  0158d913  0    00000015  srli x18, x17, 21
  345  01685093  0    00000016  srli x1, x16, 22
  346  0173d293  0    00000017  srli x5, x7, 23
  347  01805513  0    00000018  srli x10, x0, 24
  348  0191dd13  0    00000019  srli x26, x3, 25
  349  01a8d593  0    0000001a  srli x11, x17, 26
  350  01b35d93  0    0000001b  srli x27, x6, 27
  351  01c55113  0    0000001c  srli x2, x10, 28
  352  01d15413  0    0000001d  srli x8, x2, 29
  353  01ec5e93  0    0000001e  srli x29, x24, 30
  354  01fdd493  0    0000001f  srli x9, x27, 31
  355  40045813  0    00000400  srai x16, x8, 0
  356  4018d393  0    00000401  srai x7, x17, 1
  357  402a5593  0    00000402  srai x11, x20, 2
  358  403d5013  0    00000403  srai x0, x26, 3
  359  4040df13  0    00000404  srai x30, x1, 4
  360  4052d713  0    00000405  srai x14, x5, 5
  361  406c5093  0    00000406  srai x1, x24, 6
  362  40795893  0    00000407  srai x17, x18, 7
  363  40855413  0    00000408  srai x8, x10, 8
  364  4095d293  0    00000409  srai x5, x11, 9
  365  40a05f93  0    0000040a  srai x31, x0, 10
  366  40b6d093  0    0000040b  srai x1, x13, 11
  367  40c2d093  0    0000040c  srai x1, x5, 12
  368  40d95e93  0    0000040d  srai x29, x18, 13
  369  40e95913  0    0000040e  srai x18, x18, 14
  370  40fcd213  0    0000040f  srai x4, x25, 15
  371  4101d213  0    00000410  srai x4, x3, 16
  372  41195013  0    00000411  srai x0, x18, 17
  373  412dd413  0    00000412  srai x8, x27, 18
  374  4138d013  0    00000413  srai x0, x17, 19
  375  414f5413  0    00000414  srai x8, x30, 20
  376  4154d613  0    00000415  srai x12, x9, 21
  377  416fd993  0    00000416  srai x19, x31, 22
  378  417b5193  0    00000417  srai x3, x22, 23
  379  41855193  0    00000418  srai x3, x10, 24
  380  41915e13  0    00000419  srai x28, x2, 25
  381  41aa5313  0    0000041a  srai x6, x20, 26
  382  41bcd493  0    0000041b  srai x9, x25, 27
  383  41ced613  0    0000041c  srai x12, x29, 28
  384  41d7db13  0    0000041d  srai x22, x15, 29
  385  41e6d293  0    0000041e  srai x5, x13, 30
  386  41f8d193  0    0000041f  srai x3, x17, 31
  387  80472023  1    fffff800  sw x4, -2048(x14)
  388  804310a3  1    fffff801  sh x4, -2047(x6)
  389  800e82a3  1    fffff805  sb x0, -2043(x29)
  390  80cb2423  1    fffff808  sw x12, -2040(x22)
  391  80789d23  1    fffff81a  sh x7, -2022(x17)
  392  836b81a3  1    fffff823  sb x22, -2013(x23)
  393  835fa223  1    fffff824  sw x21, -2012(x31)
  394  82b795a3  1    fffff82b  sh x11, -2005(x15)
  395  851f8ea3  1    fffff85d  sb x17, -1955(x31)
  396  86aaa723  1    fffff86e  sw x10, -1938(x21)
  397  88fc1f23  1    fffff89e  sh x15, -1890(x24)
  398  8b2c0223  1    fffff8a4  sb x18, -1884(x24)
  399  8b91a4a3  1    fffff8a9  sw x25, -1879(x3)
  400  8baa9a23  1    fffff8b4  sh x26, -1868(x21)
  401  8b628b23  1    fffff8b6  sb x22, -1866(x5)
  402  8de72a23  1    fffff8d4  sw x30, -1836(x14)
  403  8fba9123  1    fffff8e2  sh x27, -1822(x21)
  404  91c089a3  1    fffff913  sb x28, -1773(x1)
  405  97c7a0a3  1    fffff961  sw x28, -1695(x15)
  406  97ae92a3  1    fffff965  sh x26, -1691(x29)
  407  977009a3  1    fffff973  sb x23, -1677(x0)
  408  97d7aba3  1    fffff977  sw x29, -1673(x15)
  409  992a91a3  1    fffff983  sh x18, -1661(x21)
  410  98168423  1    fffff988  sb x1, -1656(x13)
  411  98d2a723  1    fffff98e  sw x13, -1650(x5)
  412  984098a3  1    fffff991  sh x4, -1647(x1)
  413  9b1c86a3  1    fffff9ad  sb x17, -1619(x25)
  414  9d1aa723  1    fffff9ce  sw x17, -1586(x21)
  415  9cf81923  1    fffff9d2  sh x15, -1582(x16)
  416  9e718023  1    fffff9e0  sb x7, -1568(x3)
  417  9fad2323  1    fffff9e6  sw x26, -1562(x26)
  418  a2d910a3  1    fffffa21  sh x13, -1503(x18)
  419  a3080823  1    fffffa30  sb x16, -1488(x16)
  420  a3312b23  1    fffffa36  sw x19, -1482(x2)
  421  a5ad9b23  1    fffffa56  sh x26, -1450(x27)
  422  a87b0023  1    fffffa80  sb x7, -1408(x22)
  423  aa56a323  1    fffffaa6  sw x5, -1370(x13)
  424  abc295a3  1    fffffaab  sh x28, -1365(x5)
  425  acc88d23  1    fffffada  sb x12, -1318(x17)
  426  af5daba3  1    fffffaf7  sw x21, -1289(x27)
  427  b1381123  1    fffffb02  sh x19, -1278(x16)
  428  b0628923  1    fffffb12  sb x6, -1262(x5)
  429  b0aa2ea3  1    fffffb1d  sw x10, -1251(x20)
  430  b20a95a3  1    fffffb2b  sh x0, -1237(x21)
  431  b3850fa3  1    fffffb3f  sb x24, -1217(x10)
  432  b51c2023  1    fffffb40  sw x17, -1216(x24)
  433  b7331323  1    fffffb66  sh x19, -1178(x6)
  434  b6d20923  1    fffffb72  sb x13, -1166(x4)
  435  b72eaca3  1    fffffb79  sw x18, -1159(x29)
  436  b7241fa3  1    fffffb7f  sh x18, -1153(x8)
  437  b96602a3  1    fffffb85  sb x22, -1147(x12)
  438  b9522323  1    fffffb86  sw x21, -1146(x4)
  439  b8c494a3  1    fffffb89  sh x12, -1143(x9)
  440  b9f008a3  1    fffffb91  sb x31, -1135(x0)
  441  bb5c2523  1    fffffbaa  sw x21, -1110(x24)
  442  baea9923  1    fffffbb2  sh x14, -1102(x21)
  443  bdcc83a3  1    fffffbc7  sb x28, -1081(x25)
  444  bda128a3  1    fffffbd1  sw x26, -1071(x2)
  445  bc419ea3  1    fffffbdd  sh x4, -1059(x3)
  446  be1e81a3  1    fffffbe3  sb x1, -1053(x29)
  447  bfe0afa3  1    fffffbff  sw x30, -1025(x1)
  448  c0849023  1    fffffc00  sh x8, -1024(x9)
  449  c1f400a3  1    fffffc01  sb x31, -1023(x8)
  450  c08924a3  1    fffffc09  sw x8, -1015(x18)
  451  c0a599a3  1    fffffc13  sh x10, -1005(x11)
  452  c0100a23  1    fffffc14  sb x1, -1004(x0)
  453  c1b8aba3  1    fffffc17  sw x27, -1001(x17)
  454  c0951f23  1    fffffc1e  sh x9, -994(x10)
  455  c24e05a3  1    fffffc2b  sb x4, -981(x28)
  456  c5992023  1    fffffc40  sw x25, -960(x18)
  457  c7c81a23  1    fffffc74  sh x28, -908(x16)
  458  c8f30323  1    fffffc86  sb x15, -890(x6)
  459  c9af23a3  1    fffffc87  sw x26, -889(x30)
  460  ccd296a3  1    fffffccd  sh x13, -819(x5)
  461  ccee8fa3  1    fffffcdf  sb x14, -801(x29)
  462  cec520a3  1    fffffce1  sw x12, -799(x10)
  463  cfc89323  1    fffffce6  sh x28, -794(x17)
  464  cfe38fa3  1    fffffcff  sb x30, -769(x7)
  465  d0b820a3  1    fffffd01  sw x11, -767(x16)
  466  d10a93a3  1    fffffd07  sh x16, -761(x21)
  467  d10086a3  1    fffffd0d  sb x16, -755(x1)
  468  d1f72923  1    fffffd12  sw x31, -750(x14)
  469  d2a693a3  1    fffffd27  sh x10, -729(x13)
  470  d48f0223  1    fffffd44  sb x8, -700(x30)
  471  d4c02523  1    fffffd4a  sw x12, -694(x0)
  472  d55496a3  1    fffffd4d  sh x21, -691(x9)
  473  d52a0ca3  1    fffffd59  sb x18, -679(x20)
  474  d4152e23  1    fffffd5c  sw x1, -676(x10)
  475  d6ff16a3  1    fffffd6d  sh x15, -659(x30)
  476  d6bb88a3  1    fffffd71  sb x11, -655(x23)
  477  d72f2ea3  1    fffffd7d  sw x18, -643(x30)
  478  d97f10a3  1    fffffd81  sh x23, -639(x30)
  479  d82c8523  1    fffffd8a  sb x2, -630(x25)
  480  daf123a3  1    fffffda7  sw x15, -601(x2)
  481  dd391b23  1    fffffdd6  sh x19, -554(x18)
  482  dc2d0da3  1    fffffddb  sb x2, -549(x26)
  483  df4cafa3  1    fffffdff  sw x20, -513(x25)
  484  e0af9023  1    fffffe00  sh x10, -512(x31)
  485  e02900a3  1    fffffe01  sb x2, -511(x18)
  486  e19d2ba3  1    fffffe17  sw x25, -489(x26)
  487  e0149ea3  1    fffffe1d  sh x1, -483(x9)
  488  e20b0123  1    fffffe22  sb x0, -478(x22)
